incident_id,site_id,incident_date,category,severity,device_type,issue_type,resolution_time_hours,status,root_cause
INC000025,SITE006,2026-06-14,QoS,P3,Mobile,Dialing Issue,5.66,Resolved,QoS
INC000026,SITE027,2026-01-18,QoS,P3,Mobile,One-Way Audio,6.68,Closed,User Error
INC000027,SITE022,2026-05-20,UAT,P3,Soft Client,UAT Failure,1.88,Closed,QoS
INC000028,SITE009,2026-02-05,SIP,P3,Room Device,Provisioning Failure,5.91,Open,Network
INC000029,SITE024,2026-04-14,SIP,P4,Mobile,Dialing Issue,1.26,Closed,QoS
INC000030,SITE009,2026-04-10,Audio,P4,Mobile,One-Way Audio,2.58,Resolved,Device Issue
INC000031,SITE031,2026-02-07,Device Configuration,P3,Desk Phone,Poor Call Quality,3.63,In Progress,Device Issue
INC000032,SITE025,2026-01-21,Call Quality,P4,Soft Client,Provisioning Failure,2.78,Resolved,QoS
INC000033,SITE034,2026-05-06,User Configuration,P4,Room Device,Provisioning Failure,2.93,Resolved,Network
INC000034,SITE018,2026-08-21,QoS,P4,Soft Client,Device Configuration,7.73,Resolved,Unknown
INC000035,SITE017,2026-04-04,Provisioning,P4,Desk Phone,UAT Failure,1.44,In Progress,Unknown
INC000036,SITE019,2026-05-26,Network,P3,Mobile,UAT Failure,1.78,Resolved,Unknown
INC000037,SITE015,2026-03-12,Audio,P3,Soft Client,Poor Call Quality,3.63,Resolved,Unknown
INC000038,SITE014,2026-04-16,UAT,P4,Mobile,Dialing Issue,7.66,Resolved,Configuration
INC000039,SITE002,2026-06-26,Call Quality,P4,Soft Client,Poor Call Quality,1.15,Resolved,Unknown
INC000040,SITE002,2026-02-09,Network,P3,Room Device,Provisioning Failure,4.74,Resolved,Network
INC000041,SITE009,2026-07-15,Network,P3,Room Device,No Audio,4.23,Closed,Network
INC000042,SITE035,2026-04-21,Audio,P3,Mobile,No Audio,9.0,Resolved,Device Issue
INC000043,SITE010,2026-08-14,QoS,P3,Desk Phone,Provisioning Failure,2.62,Resolved,Device Issue
INC000044,SITE006,2026-02-05,Audio,P3,Desk Phone,Device Configuration,7.89,In Progress,Configuration
INC000045,SITE008,2026-04-17,User Configuration,P3,Room Device,Device Configuration,9.93,Resolved,Unknown
INC000046,SITE020,2026-02-18,UAT,P4,Room Device,Poor Call Quality,6.98,Resolved,User Error
INC000047,SITE012,2026-03-16,Device Configuration,P4,Desk Phone,No Audio,3.95,Resolved,Configuration
INC000048,SITE032,2026-06-16,Provisioning,P3,Desk Phone,One-Way Audio,6.59,Resolved,User Error
INC000049,SITE034,2026-05-13,Dial Plan,P3,Room Device,One-Way Audio,6.47,In Progress,Unknown
INC000050,SITE022,2026-06-11,Registration,P4,Room Device,Poor Call Quality,2.47,Closed,Unknown
INC000051,SITE015,2026-08-22,Call Quality,P4,Mobile,Dialing Issue,6.26,Resolved,Network
INC000052,SITE008,2026-03-09,Device Configuration,P2,Mobile,Provisioning Failure,7.51,Resolved,Device Issue
INC000053,SITE031,2026-03-10,Audio,P2,Room Device,Provisioning Failure,3.15,Resolved,Configuration
INC000054,SITE012,2026-07-06,Audio,P4,Room Device,Provisioning Failure,4.85,Closed,Network
INC000055,SITE023,2026-05-08,User Configuration,P4,Soft Client,One-Way Audio,16.14,Resolved,QoS
INC000056,SITE017,2026-06-26,Provisioning,P3,Soft Client,One-Way Audio,3.79,Resolved,User Error
INC000057,SITE022,2026-05-28,Network,P1,Desk Phone,Dialing Issue,3.4,Closed,Device Issue
INC000058,SITE010,2026-02-06,User Configuration,P3,Mobile,Device Configuration,3.41,Resolved,Unknown
INC000059,SITE013,2026-06-13,QoS,P4,Mobile,Device Configuration,1.52,Resolved,Device Issue
INC000060,SITE005,2026-07-02,Codec,P3,Desk Phone,One-Way Audio,8.83,Resolved,Unknown
INC000061,SITE027,2026-01-05,Registration,P3,Soft Client,No Audio,3.77,Resolved,QoS
INC000062,SITE017,2026-04-21,Provisioning,P3,Desk Phone,Registration Failure,3.36,Resolved,Unknown
INC000063,SITE024,2026-08-28,Network,P3,Room Device,Poor Call Quality,3.19,Resolved,Network
INC000064,SITE014,2026-04-20,UAT,P1,Room Device,Poor Call Quality,1.28,In Progress,QoS
INC000065,SITE022,2026-08-29,Device Configuration,P3,Room Device,Dialing Issue,8.43,Resolved,User Error
INC000066,SITE022,2026-07-26,Audio,P4,Mobile,One-Way Audio,2.45,Resolved,Device Issue
INC000067,SITE025,2026-03-20,Device Configuration,P4,Desk Phone,Poor Call Quality,4.32,Resolved,User Error
INC000068,SITE033,2026-07-09,Registration,P3,Room Device,No Audio,3.04,Resolved,QoS
INC000069,SITE034,2026-05-08,Registration,P3,Desk Phone,Provisioning Failure,7.87,Resolved,Network
INC000070,SITE023,2026-03-07,Call Quality,P4,Desk Phone,Dialing Issue,3.43,Closed,User Error
INC000071,SITE010,2026-05-19,User Configuration,P2,Desk Phone,Device Configuration,2.21,Resolved,Device Issue
INC000072,SITE009,2026-03-16,SIP,P2,Room Device,Poor Call Quality,1.15,Resolved,Network
INC000073,SITE026,2026-02-19,Codec,P2,Room Device,UAT Failure,2.27,Resolved,User Error
INC000074,SITE013,2026-08-27,Device Configuration,P4,Desk Phone,Provisioning Failure,3.28,Resolved,Provisioning
INC000075,SITE016,2026-06-25,Codec,P3,Room Device,Provisioning Failure,1.88,Resolved,Provisioning
INC000076,SITE005,2026-03-08,Registration,P2,Mobile,One-Way Audio,7.49,Resolved,Provisioning
INC000077,SITE006,2026-04-01,User Configuration,P3,Mobile,No Audio,5.57,Resolved,Configuration
INC000078,SITE031,2026-05-03,Audio,P4,Mobile,Provisioning Failure,6.37,Resolved,Provisioning
INC000079,SITE010,2026-07-26,UAT,P3,Soft Client,No Audio,4.85,In Progress,QoS
INC000080,SITE021,2026-02-04,SIP,P3,Mobile,No Audio,8.51,Closed,User Error
INC000081,SITE016,2026-01-29,Network,P4,Soft Client,Device Configuration,5.06,Open,User Error
INC000082,SITE014,2026-06-28,UAT,P4,Mobile,Dialing Issue,2.9,Resolved,Network
INC000083,SITE034,2026-08-27,User Configuration,P2,Room Device,Registration Failure,0.86,Resolved,Network
INC000084,SITE018,2026-06-03,QoS,P4,Room Device,Poor Call Quality,8.05,In Progress,Unknown
INC000085,SITE013,2026-02-01,Codec,P4,Desk Phone,Registration Failure,3.55,Resolved,Network
INC000086,SITE005,2026-06-06,QoS,P2,Mobile,One-Way Audio,3.55,Resolved,Unknown
INC000087,SITE022,2026-01-06,QoS,P3,Mobile,Dialing Issue,6.85,In Progress,QoS
INC000088,SITE033,2026-01-20,Audio,P3,Soft Client,Dialing Issue,2.74,Open,Configuration
INC000089,SITE030,2026-06-09,Audio,P2,Desk Phone,One-Way Audio,1.79,Closed,QoS
INC000090,SITE015,2026-06-08,Dial Plan,P3,Room Device,No Audio,1.1,In Progress,Network
INC000091,SITE005,2026-05-27,Network,P2,Mobile,Poor Call Quality,10.01,Resolved,User Error
INC000092,SITE007,2026-04-18,Codec,P2,Desk Phone,Device Configuration,8.02,Resolved,User Error
INC000093,SITE028,2026-01-10,UAT,P2,Soft Client,UAT Failure,3.59,Resolved,Provisioning
INC000094,SITE033,2026-02-19,Provisioning,P2,Desk Phone,No Audio,2.88,Resolved,QoS
INC000095,SITE008,2026-02-07,Codec,P3,Soft Client,Dialing Issue,4.1,Resolved,User Error
INC000096,SITE009,2026-05-30,SIP,P3,Desk Phone,No Audio,0.85,Resolved,Provisioning
INC000097,SITE008,2026-05-13,QoS,P2,Room Device,Poor Call Quality,5.56,Resolved,Device Issue
INC000098,SITE022,2026-06-14,Audio,P3,Room Device,Dialing Issue,2.55,Closed,User Error
INC000099,SITE031,2026-02-04,Network,P3,Room Device,Poor Call Quality,5.21,Resolved,Configuration
INC000100,SITE007,2026-01-02,Provisioning,P3,Room Device,One-Way Audio,1.86,Resolved,Unknown
INC000101,SITE013,2026-03-28,UAT,P3,Room Device,Provisioning Failure,2.4,Closed,User Error
INC000102,SITE008,2026-03-14,UAT,P3,Desk Phone,Registration Failure,3.49,Resolved,Network
INC000103,SITE032,2026-07-27,Call Quality,P2,Soft Client,Provisioning Failure,1.96,Resolved,Configuration
INC000104,SITE001,2026-04-12,Network,P3,Soft Client,Registration Failure,4.28,Resolved,Unknown
INC000105,SITE016,2026-03-27,User Configuration,P3,Soft Client,Provisioning Failure,4.6,Resolved,Device Issue
INC000106,SITE005,2026-01-25,Registration,P3,Soft Client,Device Configuration,3.65,Resolved,Network
INC000107,SITE013,2026-05-26,QoS,P3,Room Device,UAT Failure,5.29,Closed,Unknown
INC000108,SITE011,2026-03-22,Audio,P4,Desk Phone,Provisioning Failure,4.49,In Progress,Provisioning
INC000109,SITE007,2026-01-13,Audio,P2,Room Device,Registration Failure,1.95,Closed,Device Issue
INC000110,SITE027,2026-02-10,Device Configuration,P3,Desk Phone,Registration Failure,8.42,Resolved,Network
INC000111,SITE003,2026-06-03,SIP,P2,Room Device,One-Way Audio,5.55,Resolved,Unknown
INC000112,SITE007,2026-05-19,User Configuration,P3,Desk Phone,UAT Failure,2.33,Resolved,Unknown
INC000113,SITE006,2026-01-12,Codec,P4,Desk Phone,Device Configuration,5.53,Open,Configuration
INC000114,SITE021,2026-01-19,User Configuration,P3,Soft Client,Registration Failure,1.06,Resolved,Network
INC000115,SITE003,2026-01-03,Dial Plan,P4,Desk Phone,Dialing Issue,5.38,Resolved,Configuration
INC000116,SITE013,2026-08-11,Audio,P4,Mobile,Provisioning Failure,4.66,Resolved,User Error
INC000117,SITE013,2026-04-16,Call Quality,P4,Mobile,Poor Call Quality,1.35,Resolved,User Error
INC000118,SITE010,2026-01-08,Registration,P3,Room Device,Device Configuration,5.21,Resolved,Provisioning
INC000119,SITE019,2026-01-09,Dial Plan,P3,Mobile,No Audio,2.74,In Progress,QoS
INC000120,SITE033,2026-07-02,Network,P3,Mobile,Provisioning Failure,3.51,Closed,User Error
INC000121,SITE006,2026-05-26,User Configuration,P3,Mobile,UAT Failure,5.15,Resolved,Unknown
INC000122,SITE001,2026-01-05,QoS,P3,Mobile,UAT Failure,1.37,In Progress,Unknown
INC000123,SITE008,2026-03-23,SIP,P3,Room Device,Provisioning Failure,2.35,Resolved,Provisioning
INC000124,SITE035,2026-02-06,Call Quality,P3,Mobile,Registration Failure,1.48,In Progress,Configuration
INC000125,SITE010,2026-04-06,Network,P4,Room Device,Provisioning Failure,7.73,Open,Provisioning
INC000126,SITE013,2026-04-03,Registration,P3,Soft Client,UAT Failure,1.76,Resolved,Configuration
INC000127,SITE017,2026-06-29,Network,P3,Desk Phone,Poor Call Quality,2.51,Resolved,Device Issue
INC000128,SITE007,2026-05-05,Registration,P3,Desk Phone,Provisioning Failure,4.13,Open,Device Issue
INC000129,SITE019,2026-01-30,UAT,P4,Mobile,Registration Failure,0.84,Open,Unknown
INC000130,SITE020,2026-04-30,Audio,P3,Soft Client,UAT Failure,6.29,In Progress,QoS
INC000131,SITE027,2026-07-14,Network,P3,Room Device,UAT Failure,2.18,Resolved,User Error
INC000132,SITE026,2026-04-08,Dial Plan,P3,Desk Phone,Poor Call Quality,4.97,Resolved,Unknown
INC000133,SITE035,2026-01-16,QoS,P3,Mobile,No Audio,8.98,Resolved,Device Issue
INC000134,SITE034,2026-07-11,Device Configuration,P4,Mobile,Poor Call Quality,1.29,Resolved,Device Issue
INC000135,SITE031,2026-08-11,Registration,P3,Desk Phone,Device Configuration,8.1,Open,Provisioning
INC000136,SITE012,2026-03-17,Audio,P3,Mobile,Provisioning Failure,5.89,Closed,Network
INC000137,SITE007,2026-01-15,Call Quality,P3,Mobile,Device Configuration,0.75,Resolved,QoS
INC000138,SITE009,2026-02-19,SIP,P3,Room Device,Dialing Issue,3.67,Resolved,QoS
INC000139,SITE025,2026-04-22,Provisioning,P3,Room Device,Provisioning Failure,5.21,Open,Configuration
INC000140,SITE013,2026-04-23,Audio,P3,Room Device,One-Way Audio,3.0,Closed,Provisioning
INC000141,SITE033,2026-06-07,UAT,P3,Soft Client,Registration Failure,12.94,Closed,Configuration
INC000142,SITE033,2026-05-16,Device Configuration,P4,Soft Client,Device Configuration,2.59,In Progress,Network
INC000143,SITE031,2026-07-04,Call Quality,P3,Soft Client,UAT Failure,2.48,Resolved,User Error
INC000144,SITE017,2026-08-01,UAT,P2,Soft Client,UAT Failure,1.84,Resolved,Device Issue
INC000145,SITE017,2026-02-10,User Configuration,P3,Mobile,One-Way Audio,1.32,Resolved,Unknown
INC000146,SITE024,2026-01-21,Dial Plan,P2,Mobile,No Audio,2.89,Resolved,Device Issue
INC000147,SITE006,2026-08-01,Codec,P3,Desk Phone,No Audio,3.32,Resolved,User Error
INC000148,SITE025,2026-06-03,SIP,P4,Room Device,One-Way Audio,4.66,In Progress,Unknown
INC000149,SITE019,2026-02-19,QoS,P3,Mobile,Registration Failure,2.34,In Progress,Network
INC000150,SITE001,2026-05-14,SIP,P4,Mobile,Device Configuration,3.87,Open,Device Issue
INC000151,SITE008,2026-07-19,Registration,P3,Desk Phone,Dialing Issue,3.2,Resolved,Device Issue
INC000152,SITE034,2026-04-14,Provisioning,P4,Desk Phone,Poor Call Quality,4.06,Resolved,QoS
INC000153,SITE026,2026-05-03,Dial Plan,P3,Desk Phone,Provisioning Failure,2.75,Resolved,Unknown
INC000154,SITE016,2026-06-14,UAT,P2,Desk Phone,Provisioning Failure,1.66,In Progress,User Error
INC000155,SITE012,2026-07-10,Codec,P4,Desk Phone,Device Configuration,1.71,Resolved,Network
INC000156,SITE017,2026-05-06,QoS,P3,Room Device,UAT Failure,4.38,Open,Unknown
INC000157,SITE013,2026-03-10,SIP,P4,Mobile,Poor Call Quality,2.49,Resolved,Provisioning
INC000158,SITE035,2026-05-03,Call Quality,P2,Soft Client,One-Way Audio,3.74,In Progress,Device Issue
INC000159,SITE002,2026-06-11,Device Configuration,P4,Desk Phone,Provisioning Failure,3.09,In Progress,User Error
INC000160,SITE020,2026-06-03,Network,P3,Desk Phone,One-Way Audio,2.08,Resolved,Configuration
INC000161,SITE017,2026-07-20,UAT,P4,Room Device,One-Way Audio,2.41,Closed,Provisioning
INC000162,SITE015,2026-03-23,QoS,P3,Desk Phone,Dialing Issue,4.32,In Progress,Provisioning
INC000163,SITE031,2026-05-16,Registration,P4,Room Device,Poor Call Quality,1.25,Resolved,Device Issue
INC000164,SITE017,2026-07-07,Audio,P4,Mobile,One-Way Audio,6.94,In Progress,QoS
INC000165,SITE029,2026-07-02,Codec,P3,Mobile,No Audio,3.92,In Progress,Network
INC000166,SITE021,2026-06-17,SIP,P4,Mobile,Registration Failure,5.19,In Progress,Network
INC000167,SITE003,2026-01-04,Dial Plan,P2,Room Device,Provisioning Failure,3.62,Resolved,Provisioning
INC000168,SITE009,2026-02-19,Device Configuration,P2,Soft Client,Poor Call Quality,5.25,Resolved,Provisioning
INC000169,SITE016,2026-04-01,UAT,P3,Desk Phone,Registration Failure,2.28,Resolved,Network
INC000170,SITE019,2026-04-14,User Configuration,P4,Mobile,Provisioning Failure,3.5,Resolved,Provisioning
INC000171,SITE029,2026-08-12,Codec,P2,Soft Client,Provisioning Failure,0.77,In Progress,Unknown
INC000172,SITE027,2026-04-10,SIP,P2,Soft Client,Registration Failure,5.25,Closed,Configuration
INC000173,SITE024,2026-03-12,User Configuration,P4,Desk Phone,UAT Failure,3.68,Resolved,Unknown
INC000174,SITE025,2026-04-19,Audio,P3,Soft Client,One-Way Audio,2.71,Closed,Network
INC000175,SITE013,2026-02-02,Provisioning,P3,Desk Phone,Registration Failure,9.76,Closed,Configuration
INC000176,SITE011,2026-04-13,Registration,P4,Soft Client,UAT Failure,4.52,Resolved,Provisioning
INC000177,SITE020,2026-04-12,Network,P4,Mobile,Dialing Issue,24.05,Resolved,Network
INC000178,SITE026,2026-04-16,UAT,P3,Mobile,UAT Failure,7.7,Resolved,Unknown
INC000179,SITE010,2026-01-07,Device Configuration,P4,Soft Client,UAT Failure,2.27,Closed,QoS
INC000180,SITE032,2026-06-22,SIP,P4,Room Device,No Audio,8.17,Resolved,User Error
INC000181,SITE032,2026-06-30,UAT,P3,Desk Phone,UAT Failure,3.23,Resolved,Unknown
INC000182,SITE032,2026-02-06,SIP,P3,Desk Phone,Poor Call Quality,3.29,In Progress,Network
INC000183,SITE014,2026-04-16,UAT,P3,Room Device,Dialing Issue,7.38,Open,Provisioning
INC000184,SITE019,2026-03-01,Registration,P2,Room Device,UAT Failure,3.94,Open,QoS
INC000185,SITE009,2026-07-01,Call Quality,P3,Soft Client,UAT Failure,1.05,Open,Provisioning
INC000186,SITE016,2026-01-29,QoS,P2,Room Device,Registration Failure,4.43,Resolved,Network
INC000187,SITE008,2026-07-06,Call Quality,P3,Desk Phone,One-Way Audio,2.05,Resolved,Provisioning
INC000188,SITE014,2026-02-02,Audio,P2,Soft Client,Poor Call Quality,1.89,Open,Device Issue
INC000189,SITE031,2026-06-09,QoS,P4,Room Device,UAT Failure,4.71,Closed,User Error
INC000190,SITE010,2026-02-16,UAT,P2,Desk Phone,Device Configuration,1.11,Closed,Network
INC000191,SITE008,2026-08-26,Provisioning,P4,Desk Phone,No Audio,0.64,Resolved,Configuration
INC000192,SITE010,2026-08-25,UAT,P4,Mobile,Dialing Issue,4.14,Resolved,User Error
INC000193,SITE034,2026-07-26,Call Quality,P2,Mobile,Provisioning Failure,16.24,Resolved,Configuration
INC000194,SITE016,2026-01-25,Provisioning,P3,Mobile,Poor Call Quality,1.25,Resolved,QoS
INC000195,SITE019,2026-04-20,SIP,P4,Soft Client,Dialing Issue,3.19,Resolved,User Error
INC000196,SITE005,2026-03-21,UAT,P3,Mobile,Registration Failure,10.14,Resolved,Network
INC000197,SITE005,2026-07-01,Codec,P3,Desk Phone,Dialing Issue,2.36,Resolved,Device Issue
INC000198,SITE005,2026-07-19,Provisioning,P3,Desk Phone,Provisioning Failure,1.99,Resolved,Provisioning
INC000199,SITE002,2026-08-30,Dial Plan,P3,Soft Client,Dialing Issue,1.81,Open,User Error
INC000200,SITE003,2026-05-03,UAT,P2,Soft Client,Device Configuration,3.58,Open,Unknown
INC000201,SITE034,2026-03-03,Call Quality,P2,Room Device,Provisioning Failure,3.97,Resolved,Unknown
INC000202,SITE035,2026-08-08,Device Configuration,P3,Desk Phone,Registration Failure,2.62,In Progress,User Error
INC000203,SITE007,2026-01-10,Dial Plan,P3,Room Device,Device Configuration,4.21,Closed,Device Issue
INC000204,SITE033,2026-03-19,Device Configuration,P3,Desk Phone,No Audio,2.8,Closed,Provisioning
INC000205,SITE002,2026-06-30,Network,P3,Room Device,No Audio,4.8,Resolved,QoS
INC000206,SITE029,2026-07-18,Audio,P3,Soft Client,Dialing Issue,3.62,Closed,Device Issue
INC000207,SITE006,2026-03-10,Codec,P4,Mobile,Registration Failure,8.62,Closed,Configuration
INC000208,SITE017,2026-06-09,User Configuration,P2,Mobile,Registration Failure,1.77,Resolved,Configuration
INC000209,SITE003,2026-04-28,Device Configuration,P3,Room Device,One-Way Audio,4.12,Resolved,User Error
INC000210,SITE003,2026-08-06,Network,P3,Mobile,UAT Failure,2.35,Closed,Provisioning
INC000211,SITE026,2026-07-07,Device Configuration,P2,Mobile,UAT Failure,3.82,Open,QoS
INC000212,SITE018,2026-04-30,User Configuration,P4,Room Device,UAT Failure,1.55,Resolved,Unknown
INC000213,SITE005,2026-08-15,Network,P2,Soft Client,No Audio,3.7,In Progress,QoS
INC000214,SITE019,2026-01-10,Codec,P3,Mobile,One-Way Audio,3.08,In Progress,Provisioning
INC000215,SITE031,2026-02-02,Audio,P2,Soft Client,Device Configuration,2.02,In Progress,QoS
INC000216,SITE001,2026-06-05,Codec,P3,Desk Phone,Dialing Issue,5.36,Resolved,Network
INC000217,SITE024,2026-02-19,Call Quality,P3,Mobile,Registration Failure,2.21,Resolved,Configuration
INC000218,SITE026,2026-06-30,Registration,P3,Room Device,Dialing Issue,1.14,Open,Device Issue
INC000219,SITE018,2026-06-04,Codec,P3,Desk Phone,One-Way Audio,1.33,Open,Provisioning
INC000220,SITE015,2026-03-09,Device Configuration,P4,Mobile,Provisioning Failure,0.86,Resolved,Provisioning
INC000221,SITE026,2026-01-08,Network,P2,Desk Phone,One-Way Audio,0.41,In Progress,Unknown
INC000222,SITE015,2026-04-02,UAT,P4,Soft Client,One-Way Audio,7.24,Resolved,Network
INC000223,SITE033,2026-08-07,UAT,P3,Desk Phone,Provisioning Failure,1.49,In Progress,Provisioning
INC000224,SITE006,2026-03-22,Provisioning,P3,Mobile,Poor Call Quality,9.74,In Progress,Network
INC000225,SITE014,2026-03-12,Call Quality,P3,Soft Client,Registration Failure,5.68,Resolved,QoS
INC000226,SITE026,2026-08-23,Provisioning,P3,Room Device,One-Way Audio,2.88,Resolved,Configuration
INC000227,SITE003,2026-01-29,Registration,P4,Mobile,Dialing Issue,1.89,Closed,Unknown
INC000228,SITE010,2026-08-02,UAT,P3,Room Device,One-Way Audio,1.64,Resolved,QoS
INC000229,SITE012,2026-05-19,User Configuration,P4,Soft Client,Device Configuration,1.64,Closed,Unknown
INC000230,SITE014,2026-03-18,Provisioning,P2,Soft Client,Device Configuration,6.78,Resolved,Network
INC000231,SITE031,2026-07-03,Registration,P3,Room Device,Registration Failure,2.3,Resolved,Provisioning
INC000232,SITE006,2026-08-09,Network,P3,Desk Phone,UAT Failure,15.1,In Progress,Network
INC000233,SITE012,2026-01-10,Network,P3,Soft Client,Registration Failure,1.84,Resolved,QoS
INC000234,SITE008,2026-02-21,User Configuration,P3,Mobile,One-Way Audio,2.9,Resolved,User Error
INC000235,SITE008,2026-01-29,Registration,P3,Room Device,Dialing Issue,2.26,Resolved,Provisioning
INC000236,SITE019,2026-07-28,QoS,P2,Soft Client,Provisioning Failure,1.47,Resolved,User Error
INC000237,SITE003,2026-04-09,Network,P2,Mobile,UAT Failure,5.26,In Progress,Device Issue
INC000238,SITE007,2026-07-12,SIP,P4,Room Device,Dialing Issue,3.44,Resolved,Unknown
INC000239,SITE027,2026-08-02,Audio,P4,Desk Phone,Poor Call Quality,3.8,Closed,Provisioning
INC000240,SITE012,2026-01-24,Codec,P4,Soft Client,Device Configuration,1.61,Resolved,Provisioning
INC000241,SITE009,2026-04-07,User Configuration,P2,Desk Phone,UAT Failure,5.4,Open,Configuration
INC000242,SITE019,2026-05-07,QoS,P3,Room Device,UAT Failure,1.63,Open,Configuration
INC000243,SITE021,2026-01-11,Dial Plan,P4,Room Device,Provisioning Failure,7.4,Resolved,Provisioning
INC000244,SITE001,2026-08-14,UAT,P2,Room Device,No Audio,2.97,Open,QoS
INC000245,SITE026,2026-02-01,Provisioning,P4,Room Device,No Audio,2.81,Resolved,Provisioning
INC000246,SITE016,2026-06-27,Registration,P3,Room Device,No Audio,2.56,Resolved,Device Issue
INC000247,SITE024,2026-02-06,Provisioning,P3,Soft Client,One-Way Audio,3.36,Resolved,Unknown
INC000248,SITE023,2026-05-15,Registration,P3,Desk Phone,No Audio,5.44,In Progress,User Error
INC000249,SITE026,2026-07-15,Provisioning,P3,Room Device,Poor Call Quality,1.04,In Progress,Network
INC000250,SITE009,2026-01-30,Call Quality,P3,Soft Client,Poor Call Quality,2.09,Resolved,Network
INC000251,SITE034,2026-01-06,Device Configuration,P4,Room Device,Provisioning Failure,5.02,Resolved,QoS
INC000252,SITE015,2026-04-28,User Configuration,P3,Room Device,Provisioning Failure,1.47,In Progress,Network
INC000253,SITE021,2026-01-28,Network,P3,Soft Client,Registration Failure,3.1,Resolved,Configuration
INC000254,SITE007,2026-05-25,UAT,P2,Desk Phone,Device Configuration,1.52,Resolved,Provisioning
INC000255,SITE031,2026-03-02,User Configuration,P1,Desk Phone,Dialing Issue,5.83,Closed,Configuration
INC000256,SITE002,2026-08-05,Audio,P2,Soft Client,Device Configuration,5.81,Resolved,Unknown
INC000257,SITE016,2026-05-31,Audio,P3,Mobile,UAT Failure,1.49,Resolved,Network
INC000258,SITE017,2026-06-08,User Configuration,P3,Soft Client,Poor Call Quality,4.56,Resolved,Configuration
INC000259,SITE010,2026-08-13,UAT,P3,Mobile,No Audio,14.26,Resolved,Unknown
INC000260,SITE016,2026-08-21,Device Configuration,P4,Mobile,One-Way Audio,4.7,Closed,Provisioning
INC000261,SITE023,2026-03-22,Call Quality,P3,Desk Phone,Provisioning Failure,4.1,In Progress,Device Issue
INC000262,SITE033,2026-02-08,QoS,P3,Desk Phone,One-Way Audio,1.45,Resolved,Network
INC000263,SITE016,2026-04-27,Call Quality,P2,Room Device,One-Way Audio,4.66,Resolved,Device Issue
INC000264,SITE012,2026-06-26,UAT,P3,Room Device,UAT Failure,4.9,Resolved,Unknown
INC000265,SITE016,2026-01-25,User Configuration,P4,Desk Phone,One-Way Audio,0.77,Resolved,User Error
INC000266,SITE017,2026-01-10,Call Quality,P3,Room Device,Provisioning Failure,2.25,Closed,User Error
INC000267,SITE006,2026-05-14,User Configuration,P4,Soft Client,UAT Failure,4.48,Open,Device Issue
INC000268,SITE015,2026-05-08,Network,P4,Room Device,Dialing Issue,4.0,Open,Configuration
INC000269,SITE028,2026-03-29,UAT,P3,Mobile,One-Way Audio,17.14,Closed,Provisioning
INC000270,SITE028,2026-07-05,SIP,P3,Room Device,Dialing Issue,6.64,Closed,Unknown
