user_id,site_id,department,device_type,license_type,provisioning_status,migration_status
USER00042,SITE011,Support,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00043,SITE035,Support,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00044,SITE032,Operations,Desk Phone,Webex Calling Standard,Provisioned,Migrated
USER00045,SITE016,Sales,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00046,SITE023,Operations,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00047,SITE002,Management,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00048,SITE005,Operations,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00049,SITE007,Support,Room Device,Webex Calling Professional,Pending,Migrated
USER00050,SITE033,HR,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00051,SITE001,Management,Room Device,Webex Calling Professional,Provisioned,Pending
USER00052,SITE004,Management,Desk Phone,Webex Calling Standard,Failed,Migrated
USER00053,SITE025,Sales,Desk Phone,Webex Calling Professional,Provisioned,In Progress
USER00054,SITE002,Sales,Mobile,Webex Calling Standard,Pending,In Progress
USER00055,SITE018,Sales,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00056,SITE005,IT,Mobile,Webex Calling Professional,Pending,Migrated
USER00057,SITE004,Sales,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00058,SITE023,Support,Mobile,Webex Calling Professional,Provisioned,In Progress
USER00059,SITE005,Support,Soft Client,Webex Calling Professional,Provisioned,Pending
USER00060,SITE018,IT,Room Device,Webex Calling Standard,Provisioned,Migrated
USER00061,SITE018,HR,Soft Client,Webex Calling Standard,Provisioned,Migrated
USER00062,SITE002,IT,Soft Client,Webex Calling Professional,Provisioned,In Progress
USER00063,SITE004,Sales,Soft Client,Webex Calling Standard,Provisioned,In Progress
USER00064,SITE019,HR,Desk Phone,Webex Calling Standard,Provisioned,Migrated
USER00065,SITE015,Management,Desk Phone,Webex Calling Standard,Provisioned,Pending
USER00066,SITE010,IT,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00067,SITE005,Management,Mobile,Webex Calling Professional,Provisioned,Pending
USER00068,SITE022,Finance,Desk Phone,Webex Calling Standard,Provisioned,Migrated
USER00069,SITE017,Support,Mobile,Webex Calling Professional,Failed,Migrated
USER00070,SITE026,Sales,Desk Phone,Webex Calling Standard,Failed,In Progress
USER00071,SITE033,Finance,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00072,SITE013,Support,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00073,SITE034,Management,Room Device,Webex Calling Standard,Pending,Migrated
USER00074,SITE034,IT,Room Device,Webex Calling Professional,Provisioned,Pending
USER00075,SITE031,IT,Room Device,Webex Calling Professional,Failed,Migrated
USER00076,SITE034,Support,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00077,SITE025,Sales,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00078,SITE022,Management,Room Device,Webex Calling Standard,Provisioned,Failed
USER00079,SITE017,Management,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00080,SITE027,Finance,Desk Phone,Webex Calling Standard,Provisioned,Migrated
USER00081,SITE005,Management,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00082,SITE002,Finance,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00083,SITE015,Finance,Room Device,Webex Calling Standard,Provisioned,Migrated
USER00084,SITE009,Support,Desk Phone,Webex Calling Standard,Failed,Migrated
USER00085,SITE014,IT,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00086,SITE013,Management,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00087,SITE018,Finance,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00088,SITE022,IT,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00089,SITE002,Finance,Soft Client,Webex Calling Standard,Provisioned,Migrated
USER00090,SITE025,HR,Desk Phone,Webex Calling Standard,Provisioned,Migrated
USER00091,SITE015,Operations,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00092,SITE008,Finance,Mobile,Webex Calling Professional,Provisioned,Pending
USER00093,SITE004,Operations,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00094,SITE005,IT,Soft Client,Webex Calling Standard,Pending,Migrated
USER00095,SITE027,Support,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00096,SITE011,Operations,Soft Client,Webex Calling Standard,Provisioned,Migrated
USER00097,SITE009,Finance,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00098,SITE033,Sales,Mobile,Webex Calling Professional,Pending,Migrated
USER00099,SITE029,Management,Mobile,Webex Calling Professional,Provisioned,Migrated
USER00100,SITE020,HR,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00101,SITE033,Operations,Soft Client,Webex Calling Professional,Provisioned,Pending
USER00102,SITE020,IT,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00103,SITE019,Sales,Mobile,Webex Calling Professional,Pending,Migrated
USER00104,SITE007,Finance,Desk Phone,Webex Calling Professional,Provisioned,Pending
USER00105,SITE014,Finance,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00106,SITE026,Finance,Room Device,Webex Calling Standard,Provisioned,Migrated
USER00107,SITE004,Sales,Desk Phone,Webex Calling Professional,Provisioned,Failed
USER00108,SITE012,Operations,Desk Phone,Webex Calling Standard,Provisioned,Migrated
USER00109,SITE026,Operations,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00110,SITE002,Finance,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00111,SITE011,IT,Room Device,Webex Calling Professional,Pending,Migrated
USER00112,SITE033,Sales,Room Device,Webex Calling Standard,Provisioned,Migrated
USER00113,SITE022,Operations,Soft Client,Webex Calling Professional,Failed,In Progress
USER00114,SITE022,IT,Mobile,Webex Calling Standard,Pending,Migrated
USER00115,SITE033,Management,Desk Phone,Webex Calling Standard,Provisioned,Migrated
USER00116,SITE034,Operations,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00117,SITE021,Sales,Soft Client,Webex Calling Standard,Provisioned,Migrated
USER00118,SITE022,Management,Room Device,Webex Calling Standard,Provisioned,Pending
USER00119,SITE015,Finance,Soft Client,Webex Calling Professional,Failed,Migrated
USER00120,SITE008,Management,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00121,SITE020,HR,Soft Client,Webex Calling Standard,Pending,Migrated
USER00122,SITE014,Sales,Soft Client,Webex Calling Standard,Pending,Migrated
USER00123,SITE008,Finance,Room Device,Webex Calling Standard,Provisioned,Migrated
USER00124,SITE006,Operations,Room Device,Webex Calling Professional,Provisioned,Failed
USER00125,SITE004,Management,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00126,SITE017,HR,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00127,SITE007,Sales,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00128,SITE017,HR,Mobile,Webex Calling Standard,Provisioned,In Progress
USER00129,SITE021,Operations,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00130,SITE009,Operations,Desk Phone,Webex Calling Professional,Provisioned,Pending
USER00131,SITE011,HR,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00132,SITE031,Operations,Soft Client,Webex Calling Standard,Provisioned,Migrated
USER00133,SITE031,Sales,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00134,SITE020,Support,Room Device,Webex Calling Professional,Provisioned,Pending
USER00135,SITE016,Operations,Soft Client,Webex Calling Professional,Provisioned,Failed
USER00136,SITE004,Sales,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00137,SITE023,Management,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00138,SITE029,Finance,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00139,SITE001,Finance,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00140,SITE029,Operations,Mobile,Webex Calling Standard,Pending,Migrated
USER00141,SITE023,IT,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00142,SITE029,IT,Soft Client,Webex Calling Standard,Provisioned,Migrated
USER00143,SITE003,HR,Desk Phone,Webex Calling Professional,Pending,Migrated
USER00144,SITE024,IT,Desk Phone,Webex Calling Professional,Provisioned,Failed
USER00145,SITE005,Support,Room Device,Webex Calling Standard,Provisioned,Pending
USER00146,SITE013,HR,Soft Client,Webex Calling Standard,Provisioned,Failed
USER00147,SITE011,Management,Desk Phone,Webex Calling Professional,Pending,Migrated
USER00148,SITE016,HR,Desk Phone,Webex Calling Standard,Provisioned,Migrated
USER00149,SITE028,Sales,Mobile,Webex Calling Professional,Pending,Migrated
USER00150,SITE006,Sales,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00151,SITE033,IT,Soft Client,Webex Calling Standard,Provisioned,Migrated
USER00152,SITE027,Sales,Soft Client,Webex Calling Professional,Provisioned,In Progress
USER00153,SITE013,Operations,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00154,SITE018,IT,Soft Client,Webex Calling Professional,Provisioned,In Progress
USER00155,SITE008,Support,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00156,SITE032,Management,Mobile,Webex Calling Standard,Provisioned,Pending
USER00157,SITE031,IT,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00158,SITE002,HR,Soft Client,Webex Calling Standard,Provisioned,In Progress
USER00159,SITE007,Operations,Desk Phone,Webex Calling Standard,Provisioned,Failed
USER00160,SITE001,IT,Room Device,Webex Calling Standard,Provisioned,Migrated
USER00161,SITE023,Operations,Desk Phone,Webex Calling Professional,Provisioned,Pending
USER00162,SITE023,Sales,Mobile,Webex Calling Standard,Provisioned,Pending
USER00163,SITE023,Finance,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00164,SITE033,Finance,Room Device,Webex Calling Standard,Pending,Migrated
USER00165,SITE025,HR,Soft Client,Webex Calling Professional,Failed,Pending
USER00166,SITE031,Management,Mobile,Webex Calling Professional,Provisioned,In Progress
USER00167,SITE015,IT,Room Device,Webex Calling Standard,Provisioned,Migrated
USER00168,SITE032,Support,Room Device,Webex Calling Standard,Provisioned,Migrated
USER00169,SITE007,Finance,Mobile,Webex Calling Professional,Failed,Migrated
USER00170,SITE015,Support,Desk Phone,Webex Calling Standard,Pending,In Progress
USER00171,SITE016,HR,Mobile,Webex Calling Professional,Failed,Migrated
USER00172,SITE029,IT,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00173,SITE002,Support,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00174,SITE007,Operations,Mobile,Webex Calling Standard,Pending,Pending
USER00175,SITE015,HR,Mobile,Webex Calling Standard,Provisioned,In Progress
USER00176,SITE011,Operations,Desk Phone,Webex Calling Professional,Provisioned,In Progress
USER00177,SITE035,Finance,Desk Phone,Webex Calling Standard,Provisioned,Failed
USER00178,SITE021,Operations,Desk Phone,Webex Calling Standard,Provisioned,Failed
USER00179,SITE033,Sales,Mobile,Webex Calling Professional,Provisioned,In Progress
USER00180,SITE028,Management,Mobile,Webex Calling Standard,Provisioned,Pending
USER00181,SITE007,Support,Desk Phone,Webex Calling Standard,Provisioned,Migrated
USER00182,SITE032,Sales,Mobile,Webex Calling Professional,Provisioned,Failed
USER00183,SITE032,Sales,Desk Phone,Webex Calling Standard,Provisioned,In Progress
USER00184,SITE029,IT,Mobile,Webex Calling Professional,Provisioned,In Progress
USER00185,SITE035,Sales,Room Device,Webex Calling Standard,Provisioned,Migrated
USER00186,SITE001,Support,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00187,SITE028,IT,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00188,SITE002,IT,Room Device,Webex Calling Standard,Provisioned,Failed
USER00189,SITE029,Finance,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00190,SITE026,Sales,Room Device,Webex Calling Professional,Provisioned,Pending
USER00191,SITE031,Support,Desk Phone,Webex Calling Standard,Provisioned,Migrated
USER00192,SITE029,Support,Mobile,Webex Calling Standard,Pending,Migrated
USER00193,SITE025,Support,Soft Client,Webex Calling Standard,Pending,Migrated
USER00194,SITE004,HR,Soft Client,Webex Calling Standard,Provisioned,Migrated
USER00195,SITE019,Management,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00196,SITE006,Operations,Soft Client,Webex Calling Standard,Provisioned,In Progress
USER00197,SITE018,Sales,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00198,SITE034,HR,Soft Client,Webex Calling Standard,Provisioned,Migrated
USER00199,SITE026,Finance,Soft Client,Webex Calling Standard,Provisioned,Migrated
USER00200,SITE004,HR,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00201,SITE034,Management,Desk Phone,Webex Calling Standard,Provisioned,Migrated
USER00202,SITE019,Operations,Soft Client,Webex Calling Standard,Provisioned,Migrated
USER00203,SITE024,IT,Soft Client,Webex Calling Standard,Failed,Migrated
USER00204,SITE034,Support,Room Device,Webex Calling Standard,Provisioned,In Progress
USER00205,SITE018,IT,Room Device,Webex Calling Professional,Provisioned,Failed
USER00206,SITE026,Operations,Soft Client,Webex Calling Professional,Provisioned,In Progress
USER00207,SITE006,Support,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00208,SITE020,IT,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00209,SITE031,Support,Mobile,Webex Calling Professional,Provisioned,Migrated
USER00210,SITE015,Sales,Soft Client,Webex Calling Standard,Provisioned,Migrated
USER00211,SITE022,Operations,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00212,SITE006,Support,Mobile,Webex Calling Professional,Provisioned,Pending
USER00213,SITE029,Support,Mobile,Webex Calling Professional,Provisioned,Migrated
USER00214,SITE034,Management,Room Device,Webex Calling Professional,Provisioned,In Progress
USER00215,SITE012,Management,Soft Client,Webex Calling Professional,Provisioned,Pending
USER00216,SITE025,IT,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00217,SITE031,Management,Desk Phone,Webex Calling Standard,Provisioned,Migrated
USER00218,SITE009,Management,Soft Client,Webex Calling Standard,Provisioned,Migrated
USER00219,SITE012,Finance,Mobile,Webex Calling Professional,Provisioned,Failed
USER00220,SITE026,Operations,Soft Client,Webex Calling Standard,Failed,Pending
USER00221,SITE013,Management,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00222,SITE005,HR,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00223,SITE004,HR,Room Device,Webex Calling Standard,Provisioned,Migrated
USER00224,SITE022,Management,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00225,SITE013,Finance,Soft Client,Webex Calling Standard,Failed,Failed
USER00226,SITE010,Support,Soft Client,Webex Calling Standard,Provisioned,Migrated
USER00227,SITE001,HR,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00228,SITE029,HR,Mobile,Webex Calling Professional,Failed,Migrated
USER00229,SITE003,Finance,Soft Client,Webex Calling Professional,Provisioned,Failed
USER00230,SITE008,Management,Room Device,Webex Calling Professional,Failed,Migrated
USER00231,SITE001,Operations,Desk Phone,Webex Calling Standard,Provisioned,In Progress
USER00232,SITE026,Support,Room Device,Webex Calling Professional,Provisioned,In Progress
USER00233,SITE014,Sales,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00234,SITE023,Management,Soft Client,Webex Calling Standard,Provisioned,Migrated
USER00235,SITE009,Operations,Desk Phone,Webex Calling Standard,Provisioned,Migrated
USER00236,SITE017,Sales,Mobile,Webex Calling Professional,Pending,Migrated
USER00237,SITE014,IT,Desk Phone,Webex Calling Standard,Provisioned,In Progress
USER00238,SITE012,HR,Mobile,Webex Calling Professional,Provisioned,Migrated
USER00239,SITE013,Support,Soft Client,Webex Calling Standard,Failed,Migrated
USER00240,SITE001,IT,Soft Client,Webex Calling Standard,Failed,Pending
USER00241,SITE029,Sales,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00242,SITE019,Support,Soft Client,Webex Calling Professional,Pending,In Progress
USER00243,SITE032,IT,Mobile,Webex Calling Professional,Provisioned,Migrated
USER00244,SITE031,Finance,Room Device,Webex Calling Standard,Provisioned,Migrated
USER00245,SITE004,HR,Mobile,Webex Calling Standard,Failed,Migrated
USER00246,SITE032,Support,Soft Client,Webex Calling Professional,Provisioned,Failed
USER00247,SITE035,IT,Desk Phone,Webex Calling Standard,Provisioned,Migrated
USER00248,SITE033,Sales,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00249,SITE016,Management,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00250,SITE022,Support,Mobile,Webex Calling Standard,Pending,Migrated
USER00251,SITE032,Sales,Room Device,Webex Calling Professional,Provisioned,In Progress
USER00252,SITE030,Sales,Mobile,Webex Calling Professional,Provisioned,Migrated
USER00253,SITE032,Support,Room Device,Webex Calling Professional,Pending,Migrated
USER00254,SITE012,HR,Mobile,Webex Calling Standard,Provisioned,In Progress
USER00255,SITE002,HR,Room Device,Webex Calling Standard,Provisioned,Pending
USER00256,SITE005,Sales,Room Device,Webex Calling Standard,Provisioned,Migrated
USER00257,SITE031,Sales,Soft Client,Webex Calling Standard,Pending,Migrated
USER00258,SITE014,Support,Mobile,Webex Calling Professional,Provisioned,Migrated
USER00259,SITE027,HR,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00260,SITE008,Management,Room Device,Webex Calling Standard,Provisioned,In Progress
USER00261,SITE006,Sales,Soft Client,Webex Calling Professional,Provisioned,In Progress
USER00262,SITE028,Support,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00263,SITE004,Finance,Room Device,Webex Calling Standard,Provisioned,Migrated
USER00264,SITE016,Sales,Room Device,Webex Calling Standard,Provisioned,Migrated
USER00265,SITE008,Support,Soft Client,Webex Calling Professional,Failed,In Progress
USER00266,SITE019,Support,Room Device,Webex Calling Professional,Provisioned,Pending
USER00267,SITE013,HR,Desk Phone,Webex Calling Standard,Provisioned,Migrated
USER00268,SITE031,Management,Desk Phone,Webex Calling Standard,Provisioned,Migrated
USER00269,SITE016,Operations,Soft Client,Webex Calling Standard,Provisioned,Migrated
USER00270,SITE005,Sales,Soft Client,Webex Calling Standard,Provisioned,Migrated
USER00271,SITE034,IT,Desk Phone,Webex Calling Standard,Pending,Migrated
USER00272,SITE023,Management,Room Device,Webex Calling Standard,Provisioned,In Progress
USER00273,SITE021,Support,Room Device,Webex Calling Standard,Provisioned,Migrated
USER00274,SITE014,Sales,Room Device,Webex Calling Standard,Provisioned,Pending
USER00275,SITE014,HR,Soft Client,Webex Calling Standard,Provisioned,Migrated
USER00276,SITE004,IT,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00277,SITE003,Support,Mobile,Webex Calling Professional,Provisioned,Migrated
USER00278,SITE024,Sales,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00279,SITE007,Support,Room Device,Webex Calling Standard,Provisioned,Migrated
USER00280,SITE023,Management,Mobile,Webex Calling Standard,Pending,Failed
USER00281,SITE026,Sales,Mobile,Webex Calling Standard,Failed,Migrated
USER00282,SITE017,Sales,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00283,SITE035,Operations,Mobile,Webex Calling Professional,Provisioned,Pending
USER00284,SITE023,HR,Room Device,Webex Calling Professional,Provisioned,Failed
USER00285,SITE020,Management,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00286,SITE018,Sales,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00287,SITE032,IT,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00288,SITE013,Management,Room Device,Webex Calling Professional,Provisioned,In Progress
USER00289,SITE013,Support,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00290,SITE011,Finance,Soft Client,Webex Calling Standard,Provisioned,In Progress
USER00291,SITE001,Operations,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00292,SITE012,Management,Mobile,Webex Calling Standard,Provisioned,In Progress
USER00293,SITE033,HR,Soft Client,Webex Calling Standard,Provisioned,In Progress
USER00294,SITE021,Management,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00295,SITE013,Management,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00296,SITE009,Sales,Room Device,Webex Calling Standard,Provisioned,Migrated
USER00297,SITE021,HR,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00298,SITE002,Management,Room Device,Webex Calling Standard,Provisioned,Pending
USER00299,SITE027,Finance,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00300,SITE019,Management,Soft Client,Webex Calling Standard,Provisioned,Migrated
USER00301,SITE013,Sales,Soft Client,Webex Calling Standard,Provisioned,In Progress
USER00302,SITE034,Finance,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00303,SITE008,HR,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00304,SITE010,Finance,Room Device,Webex Calling Professional,Provisioned,Pending
USER00305,SITE015,HR,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00306,SITE008,Sales,Room Device,Webex Calling Standard,Provisioned,Migrated
USER00307,SITE009,Sales,Mobile,Webex Calling Professional,Provisioned,Migrated
USER00308,SITE016,Operations,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00309,SITE027,Support,Room Device,Webex Calling Professional,Failed,Migrated
USER00310,SITE025,Finance,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00311,SITE022,IT,Desk Phone,Webex Calling Professional,Provisioned,Pending
USER00312,SITE026,Support,Room Device,Webex Calling Professional,Pending,Migrated
USER00313,SITE016,Finance,Soft Client,Webex Calling Standard,Provisioned,Migrated
USER00314,SITE014,Operations,Mobile,Webex Calling Standard,Pending,Migrated
USER00315,SITE025,Management,Desk Phone,Webex Calling Standard,Provisioned,Migrated
USER00316,SITE014,Sales,Mobile,Webex Calling Professional,Provisioned,Migrated
USER00317,SITE029,Operations,Mobile,Webex Calling Professional,Provisioned,Pending
USER00318,SITE003,Management,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00319,SITE007,IT,Mobile,Webex Calling Professional,Pending,Migrated
USER00320,SITE011,Finance,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00321,SITE022,Operations,Room Device,Webex Calling Professional,Provisioned,In Progress
USER00322,SITE004,Support,Mobile,Webex Calling Professional,Provisioned,Migrated
USER00323,SITE003,Operations,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00324,SITE013,Finance,Soft Client,Webex Calling Standard,Provisioned,Migrated
USER00325,SITE008,IT,Desk Phone,Webex Calling Standard,Provisioned,Migrated
USER00326,SITE015,HR,Mobile,Webex Calling Professional,Provisioned,Migrated
USER00327,SITE029,Operations,Mobile,Webex Calling Professional,Provisioned,Migrated
USER00328,SITE009,Sales,Desk Phone,Webex Calling Standard,Pending,Migrated
USER00329,SITE028,Operations,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00330,SITE004,Support,Mobile,Webex Calling Standard,Pending,Migrated
USER00331,SITE003,Support,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00332,SITE034,Management,Desk Phone,Webex Calling Professional,Provisioned,Failed
USER00333,SITE012,Support,Mobile,Webex Calling Standard,Pending,Pending
USER00334,SITE007,IT,Desk Phone,Webex Calling Standard,Provisioned,Migrated
USER00335,SITE002,Finance,Room Device,Webex Calling Standard,Provisioned,Pending
USER00336,SITE010,Operations,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00337,SITE010,Support,Mobile,Webex Calling Professional,Provisioned,Migrated
USER00338,SITE035,Finance,Soft Client,Webex Calling Professional,Failed,Migrated
USER00339,SITE032,Management,Room Device,Webex Calling Standard,Pending,Migrated
USER00340,SITE033,Support,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00341,SITE011,Support,Desk Phone,Webex Calling Professional,Provisioned,Failed
USER00342,SITE010,HR,Desk Phone,Webex Calling Standard,Provisioned,Migrated
USER00343,SITE007,Sales,Room Device,Webex Calling Standard,Provisioned,In Progress
USER00344,SITE019,IT,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00345,SITE016,HR,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00346,SITE005,Management,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00347,SITE021,HR,Mobile,Webex Calling Professional,Provisioned,Migrated
USER00348,SITE029,Finance,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00349,SITE014,Management,Soft Client,Webex Calling Professional,Provisioned,Pending
USER00350,SITE026,HR,Room Device,Webex Calling Professional,Pending,Migrated
USER00351,SITE022,Operations,Soft Client,Webex Calling Standard,Provisioned,In Progress
USER00352,SITE017,Finance,Room Device,Webex Calling Standard,Provisioned,Migrated
