device_id,site_id,user_id,device_type,model,firmware,registration_status,provisioning_status,last_registered
DEV00130,SITE016,USER00403,Cisco 8841,Room Kit,15.0,Registered,Provisioned,2026-05-14
DEV00131,SITE010,USER02060,Cisco 8865,8865,14.4,Registered,Provisioned,2025-12-05
DEV00132,SITE004,USER00587,Cisco 8865,Room Kit,14.3,Registered,Provisioned,2026-07-07
DEV00133,SITE015,USER00297,Cisco 8865,8851,14.2,None,Provisioned,2026-06-07
DEV00134,SITE007,USER01387,Cisco 8851,Webex App,15.1,Registered,Provisioned,2026-01-07
DEV00135,SITE019,USER01765,Cisco 8841,8851,15.1,Registered,Pending,2026-07-03
DEV00136,SITE033,USER01100,Room Kit,Webex App,14.2,None,Provisioned,2026-07-25
DEV00137,SITE003,USER00631,Cisco 8865,Room Kit,14.3,Registered,Provisioned,2026-03-25
DEV00138,SITE017,USER00816,Room Kit,8851,14.4,Registered,Pending,2026-05-07
DEV00139,SITE007,USER02257,Cisco 8851,8851,14.3,Registered,Failed,2026-04-03
DEV00140,SITE035,USER02265,Webex App,8841,14.2,Unregistered,Pending,2026-03-01
DEV00141,SITE003,USER01277,Cisco 8841,8841,15.0,Registered,Failed,2026-04-26
DEV00142,SITE021,USER00859,Cisco 8841,8851,15.1,Registered,Failed,2026-04-01
DEV00143,SITE027,USER02192,Cisco 8851,Webex App,14.3,Unregistered,Provisioned,2026-01-29
DEV00144,SITE031,USER02057,Room Kit,Webex App,14.4,Registered,Provisioned,2026-05-13
DEV00145,SITE016,USER01266,Cisco 8851,8841,14.3,Registered,Provisioned,2026-08-25
DEV00146,SITE029,USER02012,Cisco 8841,Room Kit,14.3,Registered,Provisioned,2026-07-08
DEV00147,SITE013,USER02013,Room Kit,8865,14.3,Registered,Pending,2025-11-19
DEV00148,SITE035,USER01422,Cisco 8841,8851,14.2,Unregistered,Provisioned,2026-04-13
DEV00149,SITE003,USER00271,Cisco 8865,Room Kit,15.0,Registered,Provisioned,2026-08-03
DEV00150,SITE002,USER00343,Cisco 8851,8841,14.4,None,Provisioned,2026-04-13
DEV00151,SITE022,USER01471,Cisco 8865,Room Kit,14.4,Unregistered,Pending,2026-06-25
DEV00152,SITE025,USER01066,Cisco 8841,Room Kit,15.1,Registered,Pending,2026-03-17
DEV00153,SITE031,USER00023,Cisco 8841,8841,15.1,Registered,Provisioned,2026-05-11
DEV00154,SITE009,USER00770,Cisco 8841,Webex App,15.1,Unregistered,Provisioned,2026-08-28
DEV00155,SITE033,USER00033,Cisco 8841,Webex App,14.4,Registered,Provisioned,2026-07-02
DEV00156,SITE010,USER00809,Room Kit,Room Kit,14.4,None,Provisioned,2026-02-16
DEV00157,SITE005,USER00157,Room Kit,8851,14.2,Registered,Provisioned,2026-01-04
DEV00158,SITE020,USER01010,Webex App,8841,14.3,Registered,Failed,2026-01-15
DEV00159,SITE023,USER00006,Webex App,Webex App,14.2,Registered,Provisioned,2026-02-27
DEV00160,SITE015,USER02071,Webex App,8841,15.0,None,Provisioned,2026-07-26
DEV00161,SITE002,USER02191,Room Kit,Room Kit,14.4,Registered,Pending,2026-01-10
DEV00162,SITE026,USER00743,Cisco 8865,8865,15.0,Registered,Provisioned,2026-01-15
DEV00163,SITE016,USER00256,Cisco 8865,Room Kit,14.3,None,Provisioned,2026-03-30
DEV00164,SITE024,USER02110,Cisco 8851,Webex App,15.1,Unregistered,Provisioned,2026-07-10
DEV00165,SITE001,USER01468,Cisco 8851,Webex App,14.2,Unregistered,Provisioned,2026-01-25
DEV00166,SITE014,USER01902,Cisco 8865,8865,14.2,Registered,Provisioned,2026-01-20
DEV00167,SITE021,USER01581,Cisco 8841,Webex App,14.4,Registered,Provisioned,2026-03-06
DEV00168,SITE005,USER01657,Cisco 8841,8841,14.3,Registered,Pending,2026-02-27
DEV00169,SITE008,USER01178,Cisco 8865,Room Kit,15.0,Registered,Provisioned,2025-12-24
DEV00170,SITE026,USER01476,Cisco 8851,Room Kit,14.3,Registered,Provisioned,2026-07-09
DEV00171,SITE012,USER00639,Webex App,Webex App,15.0,Registered,Failed,2026-02-19
DEV00172,SITE026,USER00144,Cisco 8851,8851,14.3,Unregistered,Failed,2026-05-31
DEV00173,SITE020,USER00606,Cisco 8865,8841,15.1,Registered,Pending,2026-03-28
DEV00174,SITE008,USER00145,Room Kit,Room Kit,14.3,Registered,Provisioned,2026-06-20
DEV00175,SITE016,USER01547,Cisco 8851,8851,14.3,Registered,Provisioned,2025-11-30
DEV00176,SITE006,USER02233,Cisco 8851,Webex App,15.1,Registered,Provisioned,2025-12-23
DEV00177,SITE005,USER00980,Cisco 8851,8865,14.2,Registered,Provisioned,2025-12-09
DEV00178,SITE025,USER02238,Cisco 8841,Webex App,14.2,Registered,Provisioned,2026-03-02
DEV00179,SITE027,USER01459,Cisco 8851,8841,15.1,None,Provisioned,2026-07-14
DEV00180,SITE021,USER00595,Room Kit,Room Kit,14.4,Unregistered,Provisioned,2026-06-17
DEV00181,SITE033,USER01435,Cisco 8865,8865,14.3,None,Provisioned,2025-11-14
DEV00182,SITE004,USER00227,Room Kit,8851,15.1,Registered,Provisioned,2025-11-16
DEV00183,SITE035,USER00807,Cisco 8865,8841,14.4,Registered,Provisioned,2025-12-08
DEV00184,SITE026,USER01191,Cisco 8841,Room Kit,14.4,Unregistered,Provisioned,2026-07-02
DEV00185,SITE009,USER00288,Cisco 8851,Webex App,15.0,Unregistered,Pending,2026-06-09
DEV00186,SITE016,USER00903,Cisco 8851,Room Kit,15.1,Registered,Provisioned,2026-01-07
DEV00187,SITE009,USER01207,Cisco 8841,8851,15.0,Registered,Provisioned,2026-04-23
DEV00188,SITE029,USER00825,Room Kit,8865,15.1,Registered,Provisioned,2026-03-10
DEV00189,SITE002,USER00304,Cisco 8841,8865,14.2,Registered,Provisioned,2026-02-02
DEV00190,SITE035,USER02194,Cisco 8841,8865,14.2,Unregistered,Provisioned,2026-05-21
DEV00191,SITE029,USER01388,Webex App,8841,15.1,Registered,Provisioned,2026-04-23
DEV00192,SITE008,USER01502,Webex App,Webex App,14.4,Unregistered,Provisioned,2026-08-26
DEV00193,SITE007,USER00644,Webex App,8841,15.0,None,Provisioned,2026-05-13
DEV00194,SITE016,USER02363,Cisco 8851,8841,14.4,Registered,Provisioned,2026-01-14
DEV00195,SITE020,USER00076,Webex App,Room Kit,14.3,Registered,Provisioned,2026-01-17
DEV00196,SITE030,USER00993,Cisco 8851,Room Kit,15.1,Registered,Provisioned,2026-02-19
DEV00197,SITE009,USER02168,Room Kit,Webex App,14.2,Registered,Provisioned,2025-11-20
DEV00198,SITE008,USER02168,Cisco 8865,8865,14.4,Registered,Provisioned,2025-11-01
DEV00199,SITE018,USER01142,Cisco 8841,8851,15.1,None,Provisioned,2026-01-28
DEV00200,SITE001,USER01712,Webex App,8841,15.0,Registered,Pending,2026-05-25
DEV00201,SITE027,USER00205,Cisco 8841,Webex App,14.2,Unregistered,Provisioned,2026-01-07
DEV00202,SITE033,USER00342,Cisco 8865,8841,15.0,Registered,Provisioned,2026-05-19
DEV00203,SITE018,USER01959,Cisco 8865,Webex App,14.2,Unregistered,Provisioned,2026-05-21
DEV00204,SITE033,USER02460,Room Kit,Room Kit,15.1,Registered,Provisioned,2026-04-06
DEV00205,SITE027,USER01855,Webex App,Webex App,14.4,Registered,Provisioned,2026-06-03
DEV00206,SITE031,USER00702,Room Kit,Webex App,14.2,Registered,Pending,2026-03-29
DEV00207,SITE016,USER00482,Room Kit,Webex App,15.1,Registered,Provisioned,2026-04-11
DEV00208,SITE012,USER02310,Cisco 8841,Room Kit,15.1,Registered,Provisioned,2026-04-02
DEV00209,SITE009,USER00713,Webex App,8841,15.0,Registered,Provisioned,2026-03-31
DEV00210,SITE023,USER00480,Cisco 8851,8841,14.2,Unregistered,Provisioned,2026-03-03
DEV00211,SITE011,USER00970,Cisco 8865,Room Kit,14.4,Registered,Provisioned,2026-01-01
DEV00212,SITE011,USER02412,Cisco 8851,Room Kit,15.1,Registered,Provisioned,2026-04-06
DEV00213,SITE004,USER00640,Room Kit,8851,15.1,Registered,Provisioned,2026-08-26
DEV00214,SITE030,USER01490,Room Kit,8865,15.1,Registered,Provisioned,2026-08-27
DEV00215,SITE033,USER01129,Webex App,8851,14.2,Unregistered,Provisioned,2026-05-06
DEV00216,SITE012,USER01945,Cisco 8841,8865,14.2,Unregistered,Provisioned,2026-02-01
DEV00217,SITE019,USER00215,Cisco 8851,8841,14.4,Registered,Provisioned,2026-07-20
DEV00218,SITE035,USER00749,Cisco 8841,8851,14.4,Registered,Provisioned,2026-02-04
DEV00219,SITE004,USER01539,Cisco 8841,8865,15.1,Registered,Provisioned,2026-06-08
DEV00220,SITE032,USER01170,Webex App,Room Kit,14.4,Registered,Provisioned,2026-05-13
DEV00221,SITE020,USER01215,Cisco 8851,8851,14.3,Registered,Pending,2026-05-10
DEV00222,SITE001,USER01835,Cisco 8851,Room Kit,14.4,Registered,Provisioned,2026-08-10
DEV00223,SITE018,USER01653,Cisco 8865,8851,15.1,Registered,Provisioned,2026-04-10
DEV00224,SITE005,USER01140,Cisco 8841,8851,15.0,Registered,Provisioned,2026-03-15
DEV00225,SITE009,USER00945,Room Kit,8851,14.4,Registered,Provisioned,2026-03-19
DEV00226,SITE010,USER01253,Webex App,8865,14.4,None,Provisioned,2026-06-07
DEV00227,SITE017,USER01598,Webex App,Webex App,15.1,Registered,Provisioned,2026-04-26
DEV00228,SITE007,USER02055,Cisco 8851,8841,15.1,Registered,Provisioned,2026-02-28
DEV00229,SITE019,USER00121,Webex App,Room Kit,14.3,Registered,Provisioned,2026-03-13
DEV00230,SITE018,USER01964,Webex App,Room Kit,14.3,Registered,Provisioned,2026-02-16
DEV00231,SITE024,USER00174,Cisco 8865,8851,14.4,Unregistered,Provisioned,2025-11-16
DEV00232,SITE016,USER00411,Webex App,8841,15.0,Registered,Provisioned,2026-06-02
DEV00233,SITE003,USER01616,Webex App,8851,14.4,Registered,Provisioned,2026-07-06
DEV00234,SITE011,USER01582,Cisco 8865,8851,15.1,None,Pending,2026-02-24
DEV00235,SITE035,USER00396,Cisco 8841,8865,14.3,Registered,Pending,2026-05-03
DEV00236,SITE003,USER00750,Cisco 8841,8841,14.2,None,Provisioned,2026-04-10
DEV00237,SITE007,USER00212,Cisco 8865,Webex App,14.3,Registered,Provisioned,2026-02-08
DEV00238,SITE019,USER02420,Room Kit,8865,14.4,Registered,Provisioned,2026-02-26
DEV00239,SITE006,USER00210,Cisco 8865,8865,14.2,Registered,Provisioned,2026-04-13
DEV00240,SITE019,USER01555,Cisco 8865,8851,14.3,Registered,Pending,2025-12-16
DEV00241,SITE031,USER00863,Cisco 8841,Room Kit,14.3,Registered,Provisioned,2025-11-12
DEV00242,SITE015,USER01679,Webex App,Room Kit,14.2,None,Provisioned,2026-08-22
DEV00243,SITE035,USER02122,Cisco 8851,Webex App,14.3,None,Provisioned,2026-05-16
DEV00244,SITE024,USER00669,Room Kit,8851,14.2,Registered,Provisioned,2026-01-21
DEV00245,SITE026,USER00578,Webex App,8841,15.0,Registered,Pending,2026-04-30
DEV00246,SITE016,USER00033,Webex App,Webex App,15.0,Registered,Provisioned,2026-07-07
DEV00247,SITE011,USER01717,Cisco 8865,8865,14.4,Registered,Provisioned,2025-11-10
DEV00248,SITE023,USER01215,Webex App,Room Kit,15.0,Registered,Provisioned,2026-04-29
DEV00249,SITE011,USER01515,Cisco 8841,Webex App,15.0,Registered,Failed,2026-08-01
DEV00250,SITE020,USER00743,Cisco 8841,8841,15.1,Registered,Provisioned,2026-04-06
DEV00251,SITE022,USER02484,Webex App,8841,14.3,Registered,Pending,2026-01-19
DEV00252,SITE030,USER00652,Cisco 8841,Webex App,15.1,None,Provisioned,2026-01-27
DEV00253,SITE001,USER01644,Cisco 8851,Room Kit,14.2,Registered,Provisioned,2026-01-10
DEV00254,SITE034,USER01073,Cisco 8865,8851,14.2,Registered,Provisioned,2026-08-19
DEV00255,SITE034,USER00880,Cisco 8865,8841,14.3,Unregistered,Provisioned,2026-07-03
DEV00256,SITE008,USER01319,Cisco 8865,Webex App,14.2,Unregistered,Provisioned,2026-01-22
DEV00257,SITE018,USER00667,Cisco 8865,Webex App,15.1,Registered,Provisioned,2026-06-01
DEV00258,SITE028,USER00600,Webex App,8865,15.1,Registered,Provisioned,2026-06-21
DEV00259,SITE013,USER00780,Cisco 8841,8865,15.0,Registered,Provisioned,2025-12-24
DEV00260,SITE010,USER00803,Cisco 8841,Webex App,15.1,Registered,Provisioned,2026-07-14
DEV00261,SITE029,USER00300,Room Kit,Room Kit,14.4,None,Pending,2026-02-04
DEV00262,SITE003,USER00467,Cisco 8865,Webex App,14.4,Registered,Provisioned,2025-11-24
DEV00263,SITE004,USER02272,Room Kit,Room Kit,15.1,Registered,Provisioned,2026-06-09
DEV00264,SITE004,USER00836,Cisco 8841,Room Kit,15.1,Registered,Provisioned,2026-03-07
DEV00265,SITE001,USER02467,Cisco 8851,8841,15.0,Registered,Provisioned,2025-12-05
DEV00266,SITE012,USER00864,Room Kit,8841,14.4,Unregistered,Provisioned,2026-05-19
DEV00267,SITE016,USER00169,Cisco 8865,Room Kit,14.2,Registered,Provisioned,2025-11-15
DEV00268,SITE017,USER00627,Cisco 8851,Room Kit,14.2,Registered,Pending,2026-06-30
DEV00269,SITE004,USER01166,Cisco 8865,8851,15.1,Registered,Provisioned,2026-08-13
DEV00270,SITE026,USER00905,Webex App,Room Kit,15.0,None,Provisioned,2026-08-04
DEV00271,SITE008,USER01324,Webex App,8851,14.2,Registered,Provisioned,2026-08-24
DEV00272,SITE001,USER01090,Cisco 8841,8851,14.4,Registered,Provisioned,2026-06-16
DEV00273,SITE001,USER02177,Cisco 8865,Webex App,15.1,Registered,Provisioned,2026-03-04
DEV00274,SITE004,USER00365,Webex App,8851,14.4,None,Pending,2025-12-10
DEV00275,SITE034,USER01021,Webex App,Webex App,14.3,Registered,Provisioned,2026-06-04
DEV00276,SITE018,USER00451,Webex App,Room Kit,15.0,Registered,Provisioned,2026-06-13
DEV00277,SITE023,USER02341,Webex App,8851,15.1,None,Provisioned,2026-08-29
DEV00278,SITE009,USER02101,Room Kit,Room Kit,15.1,Registered,Provisioned,2026-01-06
DEV00279,SITE014,USER00949,Webex App,Webex App,14.3,Registered,Provisioned,2026-04-18
DEV00280,SITE029,USER01447,Cisco 8841,8865,14.4,Registered,Provisioned,2025-11-29
DEV00281,SITE015,USER00988,Cisco 8841,8851,14.3,Registered,Provisioned,2026-01-16
DEV00282,SITE029,USER02237,Cisco 8841,8865,15.1,Unregistered,Provisioned,2025-12-16
DEV00283,SITE028,USER01682,Room Kit,Webex App,15.1,Registered,Provisioned,2026-01-26
DEV00284,SITE026,USER01472,Cisco 8851,8851,14.2,Registered,Failed,2025-11-28
DEV00285,SITE012,USER01928,Cisco 8841,8851,14.2,Unregistered,Provisioned,2026-07-24
DEV00286,SITE032,USER01142,Room Kit,Webex App,15.0,Unregistered,Provisioned,2026-08-13
DEV00287,SITE016,USER01584,Webex App,Room Kit,15.0,Unregistered,Provisioned,2025-12-29
DEV00288,SITE009,USER00700,Webex App,Webex App,14.2,Registered,Provisioned,2026-01-23
DEV00289,SITE019,USER00267,Cisco 8865,8851,14.4,Registered,Provisioned,2026-04-25
DEV00290,SITE024,USER01006,Cisco 8841,8865,14.3,Registered,Provisioned,2026-07-31
